,PACSY_PDB,PCASY_BMRB
0,2JZY,15632
1,2KBT,16053
2,2LVO,18582
3,2LV7,18557
4,2LX9,18668
5,2LQO,18322
6,2YS2,11157
7,2MZJ,19098
8,2N64,25750
9,2KPO,16562
10,2DJA,11331
11,2JUW,15456
12,2YT2,11095
13,2N2H,25599
14,2DJS,10258
15,2N39,25638
16,2LMP,18129
17,2JNG,15109
18,2LT2,17957
19,5JTQ,30085
20,2LMQ,18131
21,2LTB,18466
22,1X5E,11113
23,2M6X,19162
24,2K5D,15829
25,2LN0,18142
26,2YRZ,11152
27,2RUV,11486
28,2JY7,15591
29,2KFW,16240
30,5JTO,30083
31,2JY8,15592
32,2LGX,17827
33,2LMQ,18131
34,2MPZ,25004
35,2N2N,25602
36,2KF2,16881
37,2L48,17233
38,2ME3,19514
39,2JW1,15504
40,1TXE,6254
41,1WJ3,11181
42,2N57,17203
43,2K5F,15834
44,2L5O,17277
45,2K01,15633
46,2KRU,16649
47,2L9R,17484
48,2MDA,19482
49,2E61,11362
50,2JU8,15434
51,2LFI,17754
52,2MJZ,19747
53,5JTP,30084
54,2LGF,17807
55,2KGE,16203
56,2L8A,17399
57,2M1L,18869
58,2KD0,16101
59,2L51,17262
60,2KGA,16200
61,2KIZ,15948
62,2E6P,11229
63,2M4I,19007
64,2KKQ,16370
65,2M89,19235
66,2MKW,19798
67,2MPZ,25004
68,2RV1,11481
69,2EE8,10148
70,2RV9,11591
71,2MXB,25396
72,2MSX,25139
73,2NBG,25975
74,2LRS,18393
75,2LR0,18337
76,2MMP,19860
77,2MZY,25508
78,2N8I,25850
79,2MPZ,25004
80,2KPN,16561
81,2E9K,10149
82,2DMS,10294
83,2LJ0,17912
84,2MJM,19732
85,2MR5,25061
86,2M1Z,18887
87,2L8O,17420
88,2ED0,11155
89,2YS4,11090
90,2MWG,17643
91,2LUH,18521
92,2CT5,11319
93,2E9J,10143
94,2MXU,25429
95,2JUW,15456
96,2JOM,15399
97,2LMN,18127
98,5K5F,30098
99,2N3K,25649
100,2MW4,25298
101,2LMQ,18131
102,5J8H,30063
103,2N1W,25577
104,2DHX,11275
105,2K5R,15847
106,1X5F,11119
107,2M4M,19013
108,2KEP,16164
109,2LIO,17900
110,2MP4,18356
111,2D88,11143
112,2N3D,25642
113,2MPZ,25004
114,2K5H,15836
115,1WH9,10095
116,2K0B,15591
117,2N1F,26550
118,2JU7,15433
119,2LMP,18129
120,2LMN,18127
121,2KZS,17018
122,1WHR,10126
123,2RN7,11017
124,2K49,15791
125,2DMC,10326
126,2LQ7,18297
127,2DAF,11270
128,2LNJ,18167
129,1V63,10111
130,2M5I,19054
131,2RN8,11018
132,5KK3,30121
133,2K3I,15762
134,2ED1,11153
135,2MME,18651
136,2MJZ,19747
137,2KMT,16135
138,2JR7,15377
139,2JY9,15584
140,2L7Z,16252
141,2LQM,18320
142,2KUC,16731
143,2JO7,15158
144,2JRH,15332
145,2NBE,25973
146,2EED,10163
147,2DBJ,10300
148,2JZC,15617
149,2LCW,17635
150,5JTN,30082
151,2JUA,15437
152,1SR2,6133
153,2N64,25750
154,2KB1,15677
155,2N6N,25774
156,2KB1,15677
157,2MPZ,25004
158,2N10,25542
159,2RUI,11570
160,2M8P,19264
161,2D8S,11325
162,2LYC,18717
163,2M74,18843
164,2JS2,15351
165,2LRP,18389
166,2RUF,11562
167,5JTO,30083
168,2MME,18651
169,4CH0,18845
170,5JTR,30086
171,2RN9,11019
172,2JQV,15295
173,2VCD,15507
174,2MPZ,25004
175,2MBL,19404
176,2MW4,25298
177,2LC2,17588
178,2RRN,11426
179,2MJZ,19747
180,2N7E,25803
181,2LEH,17711
182,2M9M,19302
183,2LGV,17824
184,2JS3,15352
185,2LPM,16905
186,5JXV,30088
187,2LCK,17614
